Station ID,Name,Data Source,Latitude,Longitude,Old Province,New Province,Old Amphure,New Amphure,Old Tambon,New Tambon,Formatted Address
1128869,กงหรา,TMD,7.466667,99.933334,สงขลา,พัทลุง,เมืองสงขลา,อำเภอ กงหรา,ตำบลกงหรา,กงหรา,กงหรา อำเภอ กงหรา พัทลุง ประเทศไทย
1128870,ป่าบอน,TMD,7.266667,100.166664,สงขลา,พัทลุง,เมืองสงขลา,อำเภอ ป่าบอน,ตำบลวังใหม่,วังใหม่,วังใหม่ อำเภอ ป่าบอน พัทลุง ประเทศไทย
1128871,ศรีบรรพต,TMD,7.7,99.849998,สงขลา,พัทลุง,เมืองสงขลา,อำเภอ ศรีบรรพต,ตำบลเขาปู่,เขาปู่,เขาปู่ อำเภอ ศรีบรรพต พัทลุง ประเทศไทย
1128872,ป่าพะยอม,TMD,7.833333,99.949997,สงขลา,พัทลุง,เมืองสงขลา,อำเภอ ป่าพะยอม,ตำบลบ้านพร้าว,บ้านพร้าว,บ้านพร้าว อำเภอ ป่าพะยอม พัทลุง ประเทศไทย
1128873,อ.เมืองพังงา,TMD,8.416667,98.533333,พังงา,พังงา,เมืองพังงา,อำเภอเมืองพังงา,ตำบลถ้ำน้ำผุด,ถ้ำน้ำผุด,ถ้ำน้ำผุด อำเภอเมืองพังงา พังงา 82000 ประเทศไทย
1128874,ทับปุด,TMD,8.55,98.699997,กระบี่,กระบี่,อ่าวลึก,อำเภอ อ่าวลึก,ตำบลนาเหนือ,นาเหนือ,นาเหนือ อำเภอ อ่าวลึก กระบี่ ประเทศไทย
1128875,ท้ายเหมือง,TMD,8.383333,98.26667,พังงา,พังงา,ท้ายเหมือง,อำเภอ ท้ายเหมือง,ตำบลท้ายเหมือง,ท้ายเหมือง,ท้ายเหมือง อำเภอ ท้ายเหมือง พังงา 82120 ประเทศไทย
1128876,ตะกั่วป่า,TMD,8.866667,98.349998,พังงา,พังงา,ตะกั่วป่า,อำเภอตะกั่วป่า,ตำบลบางนายสี,บางนายสี,บางนายสี อำเภอตะกั่วป่า พังงา ประเทศไทย
1128877,คุระบุรี,TMD,9.183333,98.416664,พังงา,พังงา,คุระบุรี,อำเภอ คุระบุรี,ตำบลแม่นางขาว,แม่นางขาว,แม่นางขาว อำเภอ คุระบุรี พังงา ประเทศไทย
1128878,ตะกั่วทุ่ง,TMD,8.383333,98.466667,พังงา,พังงา,เมืองพังงา,อำเภอเมืองพังงา,ตำบลตากแดด,ตากแดด,ตากแดด อำเภอเมืองพังงา พังงา 82000 ประเทศไทย
1128879,กะปง,TMD,8.683333,98.433334,พังงา,พังงา,กะปง,อำเภอ กะปง,ตำบลกะปง,กะปง,กะปง อำเภอ กะปง พังงา ประเทศไทย
1128881,สถานีทดลองยางบางบ่อ อ.ตะกั่วป่า,TMD,8.766666,98.283333,พังงา,พังงา,ตะกั่วป่า,อำเภอตะกั่วป่า,ตำบลคึกคัก,คึกคัก,คึกคัก อำเภอตะกั่วป่า พังงา ประเทศไทย
1128883,นิคมสร้างตนเองท้ายเหมือง,TMD,8.533334,98.316666,พังงา,พังงา,ท้ายเหมือง,อำเภอ ท้ายเหมือง,ตำบลทุ่งมะพร้าว,ทุ่งมะพร้าว,ทุ่งมะพร้าว อำเภอ ท้ายเหมือง พังงา ประเทศไทย
1128884,ศูนย์อุตุนิยมวิทยาภาคใต้ฝั่งตะวันตก จ.ภูเก็ต*,TMD,8.116667,98.314445,ภูเก็ต,ภูเก็ต,ถลาง,อำเภอถลาง,ตำบลไม้ขาว,ไม้ขาว,ไม้ขาว อำเภอถลาง ภูเก็ต 83110 ประเทศไทย
1128885,ถลาง,TMD,8.016666,98.349998,ภูเก็ต,ภูเก็ต,ถลาง,อำเภอถลาง,ตำบลศรีสุนทร,ศรีสุนทร,ศรีสุนทร อำเภอถลาง ภูเก็ต ประเทศไทย
1128886,อ.เมืองกระบี่,TMD,8.05,98.916664,กระบี่,กระบี่,เมืองกระบี่,อำเภอเมืองกระบี่,ตำบลไสไทย,ไสไทย,ไสไทย อำเภอเมืองกระบี่ กระบี่ 81000 ประเทศไทย
1128888,คลองท่อม,TMD,7.933333,99.166664,สงขลา,กระบี่,เมืองสงขลา,อำเภอคลองท่อม,ตำบลคลองท่อมใต้,คลองท่อมใต้,คลองท่อมใต้ อำเภอคลองท่อม กระบี่ 81120 ประเทศไทย
1128889,อ่าวลึก,TMD,8.383333,98.75,กระบี่,กระบี่,อ่าวลึก,อำเภอ อ่าวลึก,ตำบลอ่าวลึกเหนือ,อ่าวลึกเหนือ,อ่าวลึกเหนือ อำเภอ อ่าวลึก กระบี่ ประเทศไทย
1128890,สถานีทดลองยางกระบี่ อ.เมือง,TMD,8.233334,98.833336,กระบี่,กระบี่,เมืองกระบี่,อำเภอเมืองกระบี่,ตำบลเขาคราม,เขาคราม,เขาคราม อำเภอเมืองกระบี่ กระบี่ 81000 ประเทศไทย
1128891,สำนักงานทรัพยากรธรณีจังหวัดตรัง,TMD,7.533333,99.616669,สงขลา,ตรัง,เมืองสงขลา,อำเภอเมืองตรัง,ตำบลโคกหล่อ,โคกหล่อ,โคกหล่อ อำเภอเมืองตรัง ตรัง ประเทศไทย
